name	address	gender	rating	Service_1	Price_1	Service_2	Price_2	Service_3	Price_3	Service_4	Price_4	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
Let's Fade - Dubai Barbers	"Wasl R404 Karama, 24 35th Street, 1, Dubai Al Karama, 0000"	Men only	5	Hair Setting?? ?????? ?????	AED 15	Perm - Hair Length: Short?? ????? - ??? ?????: ????	From AED 200	Full Face Wax	AED 30	Haircut ?? ??? ?????	AED 40	7:45?am - 12:00?am	7:45?am - 12:00?am	7:45?am - 12:00?am	7:45?am - 12:00?am	7:45?am - 12:00?am	7:45?am - 12:00?am	7:45?am - 12:00?am
CG Barbershop	"Arjaan by Rotana Hotel, Dubai Dubai Media City"	Men only	5	Free Consultation	Free	Haircut by Carlos	"AED 1,000"	Skin Fade & Beard Trim	From AED 285	Full Beard Trim	AED 140	10:00?am - 8:00?pm	10:00?am - 8:00?pm	10:00?am - 8:00?pm	10:00?am - 8:00?pm	10:00?am - 8:00?pm	10:00?am - 8:00?pm	10:00?am - 8:00?pm
Boho Salon DXB	"Q Gardens Boutique Residences, Dubai Arjan-dubailand, Al Barsha South"	Women only	4.9	Boho Delux Scalp & Hair Ritual	From AED 300	Your Hair’s Year-End Reset	AED 250	Cut & Finish	From AED 300	Curl Hydration & Styling	AED 135	10:00?am - 7:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 6:00?pm	9:00?am - 6:00?pm	9:00?am - 6:00?pm
Qabbani Barbers	"Shop. 6, Binghatti Corner, JVC, Binghatti Corner, Dubai JVC"	Men only	5	Caviar Hair Treatment	AED 175	Hair Color	AED 145	Hair Cut + Beard Trim + Deep Facial Treatment	AED 375	Hot Towel	AED 20	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm
Chaps & Co Dubai Marina	"Ground Floor, Trident Grand Residence, Al Mamsha Street, Dubai Dubai Marina"	N/A	5	The Express Mani & Pedicure with Reflex Foot Massage	AED 175	Keratin Treatment - Brazil Cacau	AED 425	The FIX Mani & Pedi Combo	AED 195	Swedish Massage	AED 275	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm
Chaps & Co - Bloomingdale's	"Bloomingdale's, Financial Center Road, Dubai Downtown Dubai"	N/A	5	Thinning Hair Treatment	AED 95	The Executive Chap	From AED 295	Fresh Facial Private Room	AED 180	Chaps Beard Trim	AED 110	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm
Bo Barbershop	"The Bay Gate, Al Mustaqbal Street, Ground Floor, Dubai Business Bay"	N/A	5	Ear Waxing	AED 35	Haircut	AED 185	Traditional Hot Towel Shave	AED 105	Haircut & Beard Tune-up	AED 245	10:00?am - 8:00?pm	10:00?am - 8:00?pm	10:00?am - 8:00?pm	10:00?am - 8:00?pm	10:00?am - 8:00?pm	10:00?am - 8:00?pm	10:00?am - 8:00?pm
Nicolas Beauty Salon FZ - LLC	"Aurora Tower, Al Falak Street, GF, Dubai Al Sufouh, Dubai Media City"	Women only	4.9	Half Head Highlights	From AED 850	Vitamino Color Spectrum Treatment	AED 250	Hair Toxx Kryotherapy (freezing therapy)	AED 450	Ammonia Free Full Head Color	From AED 600	10:30?am - 8:00?pm	10:30?am - 8:00?pm	10:30?am - 8:00?pm	10:30?am - 8:00?pm	10:30?am - 8:00?pm	10:30?am - 8:00?pm	10:30?am - 8:00?pm
Akin Barber & Shop Burj Al Salam	"Round About, Burj Al Salam, 6th Street, Trade Centre, Dubai"	N/A	5	Nose & Ears Waxing	AED 50	Hair Cut & Beard Tune-Up	AED 250	Hair Cut - Restyling	AED 200	Keratin Treatment Short Hair	AED 550	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm
Moe's Barbershop - Dubai Marina	"Jumeirah Living Marina Gate, Marina, Al Khayay St, Dubai Dubai Marina"	Men only	5	The Perm - Waves or Curls	From AED 550	Highlights - Sectioning	From AED 540	Haircut	AED 180	Classic Beard Trim	From AED 125	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm	10:00?am - 10:00?pm
Marshals Gents Salon	"Al Barsha South, Dubai"	Men only	5	Skin Fade	AED 105	BBO Beard treatment	AED 210	Hair Color ( Special )	AED 420	Hair Mask	AED 57.75	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm
Paulista Beauty Salon	"Marina Royale Tower, 4th Floor, Marina Walk, Dubai Dubai Marina"	Women only	4.9	Cornrows with braids	AED 450	Hair Cut	From AED 80	Classic Tint	From AED 350	Blow Dry	AED 150	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	11:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm
Must Dash - Bespoke Men’s Grooming	"Double Tree by Hilton, M-Square AWR Properties, Al Mankhool, Shop #10, Dubai"	Men only	4.9	Signature Pedilogix Pedicure	AED 199	Nose Strip	AED 20	Blow-dry/Hairstyling	AED 27.50	Beard Tune Up	AED 39	10:00?am - 12:00?am	10:00?am - 12:00?am	10:00?am - 12:00?am	10:00?am - 12:00?am	10:00?am - 12:00?am	10:00?am - 12:00?am	10:00?am - 12:00?am
House of Cuts - Media City	"BBC World, Dubai Al Sufouh, Dubai Media City"	Men only	5	Treat yourself Mani	AED 110	Full body massage	AED 300	Hair Color	AED 350	Beard Trim	From AED 90	10:00?am - 9:00?pm	10:00?am - 9:00?pm	10:00?am - 9:00?pm	10:00?am - 9:00?pm	10:00?am - 9:00?pm	10:00?am - 9:00?pm	10:00?am - 9:00?pm
Pitstop Barbers	"Al Shafar Park Tower, 119 Sheikh Rashid Road, 16, Dubai Al Karama"	Men only	4.9	Keratin Treatment by Kerprime	AED 250	Hair Brazilian Female	From AED 250	Express Cut & File	AED 30	Body Trimming	AED 40	10:00?am - 11:30?pm	10:00?am - 11:30?pm	10:00?am - 11:30?pm	10:00?am - 11:30?pm	10:00?am - 11:30?pm	10:00?am - 11:30?pm	10:00?am - 11:30?pm
Cabello Lounge - Jumeirah Park	"Cabello Lounge, The Pavilion Jumeirah Park, Dubai"	Men only	4.9	Girls Haircut & Blowdry ( Long )	AED 150	Crystal Jelly Spa	AED 75	Hand Wax	AED 50	The Back Facial	AED 590	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm
SENSASIA - Emirates Golf Club	"Emirates Golf Club, Main Clubhouse - Sheikh Zayed Rd, Dubai"	N/A	4.9	ULTIMATE GLOW FACIAL By pHformula	AED 750	"BABY, IT'S COLD OUTSIDE - A DUET!"	AED 685	BUILD YOUR OWN MASSAGE 90MIN	AED 630	FLEX APPEAL - BALIN-EASE MASSAGE 60MIN	AED 360	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm
James Pro Barbers	"Goldcrest Building, Cluster C, Dubai Jumeirah Lakes Towers"	N/A	5	Haircut	AED 85	Haircut - Traditional Shave - Facial Cleansing	AED 190	Consultation	Free	Moustache Trim	From AED 30	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm
Belle Femme Beauty Boutique & Spa - Arabian Ranches	"Arabian Ranches, The Leisure Centre, Dubai Arabian Ranches 2"	Women only	4.9	Micro blading Eyebrows	"AED 1,500"	Lip Shading	"AED 2,100"	Keratin Hair Treatment	"From AED 1,700"	Soulyara organic Hair treatment	AED 450	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm
Kohibaa Beauty Salon The Greens	"The Greens & Views, Panorama, Emaar GF-03, 6th Street, Dubai The Views"	Women only	4.9	Hair Cut	AED 265	Consultation for Hair Color	Free	Consultation for hair extensions	AED 0	"Haircut with roots, highlights, ORRO treatment and blowdry package (max 70cms hair length)"	"AED 1,555"	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm
Fade & Play - Victory Commercial Center | Sports City	"Sports City, Dubai Dubai Sports City"	Men only	4.9	Locks	From AED 600	Shampoo + Conditioner	AED 50	Perm short hair	AED 400	Coil	From AED 250	9:00?am - 11:00?pm	9:00?am - 11:00?pm	9:00?am - 11:00?pm	9:00?am - 11:00?pm	9:00?am - 11:00?pm	9:00?am - 11:00?pm	9:00?am - 11:00?pm
Senor Gents Salon	"Dubai Festival City Mall, Crescent Road, Dubai"	Men only	5	Skin Fade &  Master Shave	AED 190	Haircut Short	AED 95	Junior Cut (Up to 12yrs)	AED 75	Master shave	AED 75	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 12:00?am	10:00?am - 12:00?am	10:00?am - 12:00?am
